place	accuracy
1	1.000000
2	0.502000
3	0.324400
4	0.106900
5	0.184300
6	0.145600
7	0.117700
8	0.008500
9	0.032800
10	0.146300
11	0.146800
12	0.067000
13	0.127400
14	0.112200
15	0.104600
16	0.004400
17	0.004400
18	0.074900
19	0.085700
20	0.397800
