place	accuracy
1	1.000000
2	0.528100
3	0.340300
4	0.129600
5	0.198500
6	0.163300
7	0.135500
8	0.011400
9	0.028300
10	0.160000
11	0.171300
12	0.112100
13	0.156500
14	0.177200
15	0.195400
16	0.025100
17	0.025100
18	0.225100
