place	accuracy
1	1.000000
2	0.528300
3	0.367200
4	0.143700
5	0.206600
6	0.181500
7	0.162900
8	0.018600
9	0.018600
10	0.169300
11	0.176800
12	0.208600
13	0.136700
14	0.360000
15	0.540400
16	1.000000
