place	accuracy
1	1.000000
2	0.536000
3	0.367600
4	0.145100
5	0.201800
6	0.191800
7	0.167300
8	0.023200
9	0.023200
10	0.166300
11	0.182600
12	0.205200
13	0.139900
14	0.372000
15	0.539500
