place	accuracy
1	1.000000
2	0.545200
3	0.371000
4	0.144400
5	0.209800
6	0.178500
7	0.153200
8	0.015800
9	0.030100
10	0.162800
11	0.180400
12	0.150900
13	0.153200
14	0.232900
15	0.302600
16	0.116000
17	0.116000
