place	accuracy
1	0.921890
2	0.474570
3	0.344170
4	0.136130
5	0.200680
6	0.183090
7	0.164170
8	0.021870
9	0.021680
10	0.164230
11	0.180490
12	0.199920
13	0.134800
14	0.344400
15	0.473830
16	0.922080
