place	accuracy
1	1.000000
2	0.514000
3	0.339100
4	0.115900
5	0.193100
6	0.145000
7	0.129700
8	0.010500
9	0.035100
10	0.141800
11	0.157300
12	0.085900
13	0.145700
14	0.142100
15	0.134300
16	0.006100
17	0.006100
18	0.122500
19	0.215200
